allocator,allocator_label,offset,date,realised_beta_252d
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-16,0.15374144174767923
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-19,0.15303918151701235
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-20,0.15313287957453445
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-21,0.15326529580589426
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-22,0.15423467627571238
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-23,0.15413901802748883
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-26,0.15368564688476546
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-27,0.15650814828432982
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-28,0.15880996914072773
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-29,0.15960482732138256
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-30,0.15879837192582344
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-03,0.15895975556037556
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-05,0.16063818823552198
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-06,0.16068093983463322
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-07,0.16121372320792438
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-10,0.16127275423028392
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-11,0.16142456372528569
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-12,0.16129672608981974
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-13,0.16187592095139347
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-14,0.16152892465422763
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-17,0.16248437526741527
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-18,0.1657451702866598
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-19,0.16467232610500734
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-20,0.16540988018497516
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-21,0.1647705519350666
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-24,0.16553973532096972
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-25,0.16606006863512118
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-26,0.16552586904831962
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-27,0.16428723850360918
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-28,0.16192753190499626
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-07-31,0.1616406026883652
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-01,0.16196146048024793
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-02,0.1624093881020079
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-03,0.16308220216414956
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-04,0.16229628824400968
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-07,0.162382917355208
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-08,0.16343396737917348
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-09,0.16270416097398227
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-10,0.1632037599145942
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-11,0.15832137963585027
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-14,0.15930055165530438
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-15,0.15865184412939162
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-16,0.15907295962010407
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-17,0.15901040066705482
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-18,0.15800448933427128
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-21,0.15589757339860427
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-22,0.15580428322381004
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-23,0.15359523335175074
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-24,0.15240305640465468
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-25,0.1518673834754675
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-28,0.1489576527089451
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-29,0.14868901546019847
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-30,0.14827392076461798
